crid,category,allegation_name,allegation_category_id,officer_race,subject_race,cr_text
1059305,Operation/Personnel Violations,Inadequate / Failure To Provide Service,204,Hispanic,White,"Initial / Intake Allegation 1: left the scene
complainant
file a police
officers
a police
Initial / Intake Allegation 4: The complaianant alleged that he was
involved in an altercation with a taxi cab
driver in which the cab driver left the scene
with his credit card. The complainant
alleged that he called 911 to file a police
report and when the accused officers
arrived they refused to generate a police
report for him.
"
1059305,Operation/Personnel Violations,Inadequate / Failure To Provide Service,204,White,White,"Initial / Intake Allegation 1: left the scene
complainant
file a police
officers
a police
Initial / Intake Allegation 4: The complaianant alleged that he was
involved in an altercation with a taxi cab
driver in which the cab driver left the scene
with his credit card. The complainant
alleged that he called 911 to file a police
report and when the accused officers
arrived they refused to generate a police
report for him.
"
1059331,Operation/Personnel Violations,Inadequate / Failure To Provide Service,204,White,Black,"Initial / Intake Allegation 1: WITH AN UNKNOWN
HE STATES THAT THE
THREATENED HIM WITH A
HE CALLED THE POLICE. HE
THAT THE ACCUSED
REFUSED TO PROVIDE HIM
POLICE REPORT, REFUSED TO
THE INDIVIDUAL AND
THE WITNESSES TO LEAVE.
Initial / Intake Allegation 4: THE REPORTING PARTY STATES THAT
HE WAS INVOLVED IN A VERBAL
ALTERCATION WITH AN UNKNOWN
INDIVIDUAL. HE STATES THAT THE
INDIVIDUAL THREATENED HIM WITH A
GUN AND HE CALLED THE POLICE. HE
ALLEGES THAT THE ACCUSED
SERGEANT REFUSED TO PROVIDE HIM
WITH A POLICE REPORT, REFUSED TO
ARREST THE INDIVIDUAL AND
ORDERED THE WITNESSES TO LEAVE.
"
1059331,Operation/Personnel Violations,Inadequate / Failure To Provide Service,204,White,Black,"Initial / Intake Allegation 1: WITH AN UNKNOWN
HE STATES THAT THE
THREATENED HIM WITH A
HE CALLED THE POLICE. HE
THAT THE ACCUSED
REFUSED TO PROVIDE HIM
POLICE REPORT, REFUSED TO
THE INDIVIDUAL AND
THE WITNESSES TO LEAVE.
Initial / Intake Allegation 4: THE REPORTING PARTY STATES THAT
HE WAS INVOLVED IN A VERBAL
ALTERCATION WITH AN UNKNOWN
INDIVIDUAL. HE STATES THAT THE
INDIVIDUAL THREATENED HIM WITH A
GUN AND HE CALLED THE POLICE. HE
ALLEGES THAT THE ACCUSED
SERGEANT REFUSED TO PROVIDE HIM
WITH A POLICE REPORT, REFUSED TO
ARREST THE INDIVIDUAL AND
ORDERED THE WITNESSES TO LEAVE.
"
1059335,Operation/Personnel Violations,Inadequate / Failure To Provide Service,204,White,Black,"Initial / Intake Allegation 1: The complainant alleges that the accused
officer refused to provide her with a case
report and said to her, “You should be out
looking for your car.""
The complainant alleges that the accused
officer refused to provide her with a case
report and said to her, “What do you want
me to do?""
Initial / Intake Allegation 4: The complainant alleges that the accused
officer refused to provide her with a case
report and said to her, ""You should be out
looking for your car.""
The complainant alleges that the accused
officer refused to provide her with a case
report and said to her, “What do you want
me to do?""
Finding 1: (None Entered)
"
1059335,Operation/Personnel Violations,Inadequate / Failure To Provide Service,204,Black,Black,"Initial / Intake Allegation 1: The complainant alleges that the accused
officer refused to provide her with a case
report and said to her, “You should be out
looking for your car.""
The complainant alleges that the accused
officer refused to provide her with a case
report and said to her, “What do you want
me to do?""
Initial / Intake Allegation 4: The complainant alleges that the accused
officer refused to provide her with a case
report and said to her, ""You should be out
looking for your car.""
The complainant alleges that the accused
officer refused to provide her with a case
report and said to her, “What do you want
me to do?""
Finding 1: (None Entered)
"
1059403,Operation/Personnel Violations,Inadequate / Failure To Provide Service,204,White,Black,"Initial / Intake Allegation 1: The complainant states that he is a
vat was working
1e complainant aueges that the
accused officers refused to provide him with
a case report for misplaced or stolen tools
that he used in working on her residence.
Initial / Intake Allegation 4: The complainant states that he *- -
contractor that was working fo,
The complainant alle _ he
avvuseu officers refused to provide him with
a case report for misplaced or stolen tools
that he used in working on her residence.
Finding 1: (None Entered)
"
1059403,Operation/Personnel Violations,Inadequate / Failure To Provide Service,204,White,Black,"Initial / Intake Allegation 1: The complainant states that he is a
vat was working
1e complainant aueges that the
accused officers refused to provide him with
a case report for misplaced or stolen tools
that he used in working on her residence.
Initial / Intake Allegation 4: The complainant states that he *- -
contractor that was working fo,
The complainant alle _ he
avvuseu officers refused to provide him with
a case report for misplaced or stolen tools
that he used in working on her residence.
Finding 1: (None Entered)
"
1059406,Operation/Personnel Violations,Inadequate / Failure To Provide Service,204,Black,Black,"Initial / Intake Allegation 1: an incident
Initial / Intake Allegation 4: The complainant alleged that the accused
officer refused to issue her an incident
report.
"
1059290,Operation/Personnel Violations,Inadequate / Failure To Provide Service,204,White,Black,"Initial / Intake Allegation 1: The reporting party alleges that he called
911 regarding a domestic incident between
him and his wife. The reporting party
alleges that the accused stated, “Are you
any of you hurt, if you are not hurt, we are
not going to arrest her."" The reporting party
alleges that one of the accused officers
stated, ""Can you either of you leave for a
while?” The reporting party alleges that the
officers allowed the offender to leave for a
short period of time and then return. The
reporting party alleges that the accused
failed to process a police and arrest the
offender/his wife. The reporting party
alleges that due to being a male and not
being injured by his wife/the offender this is
why the accused officers failed to assist
him.
The reporting party alleges that he called
911 regarding a domestic incident between
him and his wife. The reporting party
alleges that the officers allowed the offender
to leave for a short period of time and then
return. The reporting party alleges that the
accused failed to process a police and
arrest the offender/his wife. The reporting
party alleges that due to being a male and
not being injured by his wife/the offender
this is why the accused officers failed to
assist him.
The reporting party alleges that he called
911 regarding a domestic incident between
him and his wife. The reporting party
alleges that one of the accused officers
stated, ""Can you either of you leave fora
while?” The reporting party alleges that the
officers allowed the offender to leave for a
short period of time and then return. The
reporting party alleges that the accused
failed to process a police and arrest the
offender/his wife. The reporting party
alleges that due to being a male and not
being injured by his wife/the offender this is
why the accused officers failed to assist
him.
Initial / Intake Allegation 4: The reporting party alleges that he called
911 regarding a domestic incident between
him and his wife. The reporting party
alleges that the accused stated, ""Are you
any of you hurt, if you are not hurt, we are
not going to arrest her."" The reporting party
alleges that one of the accused officers
stated, ""Can you either of you leave fora
while?” The reporting party alleges that the
officers allowed the offender to leave for a
short period of time and then return. The
reporting party alleges that the accused
failed to process a police and arrest the
offender/his wife. The reporting party
alleges that due to being a male and not
being injured by his wife/the offender this is
why the accused officers failed to assist
him.
The reporting party alleges that he called
911 regarding a domestic incident between
him and his wife. The reporting party
alleges that the officers allowed the offender
to leave for a short period of time and then
return. The reporting party alleges that the
accused failed to process a police and
arrest the offender/his wife. The reporting
party alleges that due to being a male and
not being injured by his wife/the offender
this is why the accused officers failed to
assist him.
The reporting party alleges that he called
911 regarding a domestic incident between
him and his wife. The reporting party
alleges that one of the accused officers
stated, ""Can you either of you leave for a
while?” The reporting party alleges that the
officers allowed the offender to leave for a
short period of time and then return. The
reporting party alleges that the accused
failed to process a police and arrest the
offender/his wife. The reporting party
alleges that due to being a male and not
being injured by his wife/the offender this is
why the accused officers failed to assist
him.
Finding 1: (None Entered)
"
1059290,Operation/Personnel Violations,Inadequate / Failure To Provide Service,204,Hispanic,Black,"Initial / Intake Allegation 1: The reporting party alleges that he called
911 regarding a domestic incident between
him and his wife. The reporting party
alleges that the accused stated, “Are you
any of you hurt, if you are not hurt, we are
not going to arrest her."" The reporting party
alleges that one of the accused officers
stated, ""Can you either of you leave for a
while?” The reporting party alleges that the
officers allowed the offender to leave for a
short period of time and then return. The
reporting party alleges that the accused
failed to process a police and arrest the
offender/his wife. The reporting party
alleges that due to being a male and not
being injured by his wife/the offender this is
why the accused officers failed to assist
him.
The reporting party alleges that he called
911 regarding a domestic incident between
him and his wife. The reporting party
alleges that the officers allowed the offender
to leave for a short period of time and then
return. The reporting party alleges that the
accused failed to process a police and
arrest the offender/his wife. The reporting
party alleges that due to being a male and
not being injured by his wife/the offender
this is why the accused officers failed to
assist him.
The reporting party alleges that he called
911 regarding a domestic incident between
him and his wife. The reporting party
alleges that one of the accused officers
stated, ""Can you either of you leave fora
while?” The reporting party alleges that the
officers allowed the offender to leave for a
short period of time and then return. The
reporting party alleges that the accused
failed to process a police and arrest the
offender/his wife. The reporting party
alleges that due to being a male and not
being injured by his wife/the offender this is
why the accused officers failed to assist
him.
Initial / Intake Allegation 4: The reporting party alleges that he called
911 regarding a domestic incident between
him and his wife. The reporting party
alleges that the accused stated, ""Are you
any of you hurt, if you are not hurt, we are
not going to arrest her."" The reporting party
alleges that one of the accused officers
stated, ""Can you either of you leave fora
while?” The reporting party alleges that the
officers allowed the offender to leave for a
short period of time and then return. The
reporting party alleges that the accused
failed to process a police and arrest the
offender/his wife. The reporting party
alleges that due to being a male and not
being injured by his wife/the offender this is
why the accused officers failed to assist
him.
The reporting party alleges that he called
911 regarding a domestic incident between
him and his wife. The reporting party
alleges that the officers allowed the offender
to leave for a short period of time and then
return. The reporting party alleges that the
accused failed to process a police and
arrest the offender/his wife. The reporting
party alleges that due to being a male and
not being injured by his wife/the offender
this is why the accused officers failed to
assist him.
The reporting party alleges that he called
911 regarding a domestic incident between
him and his wife. The reporting party
alleges that one of the accused officers
stated, ""Can you either of you leave for a
while?” The reporting party alleges that the
officers allowed the offender to leave for a
short period of time and then return. The
reporting party alleges that the accused
failed to process a police and arrest the
offender/his wife. The reporting party
alleges that due to being a male and not
being injured by his wife/the offender this is
why the accused officers failed to assist
him.
Finding 1: (None Entered)
"
1059290,Operation/Personnel Violations,Inadequate / Failure To Provide Service,204,White,Black,"Initial / Intake Allegation 1: The reporting party alleges that he called
911 regarding a domestic incident between
him and his wife. The reporting party
alleges that the accused stated, “Are you
any of you hurt, if you are not hurt, we are
not going to arrest her."" The reporting party
alleges that one of the accused officers
stated, ""Can you either of you leave for a
while?” The reporting party alleges that the
officers allowed the offender to leave for a
short period of time and then return. The
reporting party alleges that the accused
failed to process a police and arrest the
offender/his wife. The reporting party
alleges that due to being a male and not
being injured by his wife/the offender this is
why the accused officers failed to assist
him.
The reporting party alleges that he called
911 regarding a domestic incident between
him and his wife. The reporting party
alleges that the officers allowed the offender
to leave for a short period of time and then
return. The reporting party alleges that the
accused failed to process a police and
arrest the offender/his wife. The reporting
party alleges that due to being a male and
not being injured by his wife/the offender
this is why the accused officers failed to
assist him.
The reporting party alleges that he called
911 regarding a domestic incident between
him and his wife. The reporting party
alleges that one of the accused officers
stated, ""Can you either of you leave fora
while?” The reporting party alleges that the
officers allowed the offender to leave for a
short period of time and then return. The
reporting party alleges that the accused
failed to process a police and arrest the
offender/his wife. The reporting party
alleges that due to being a male and not
being injured by his wife/the offender this is
why the accused officers failed to assist
him.
Initial / Intake Allegation 4: The reporting party alleges that he called
911 regarding a domestic incident between
him and his wife. The reporting party
alleges that the accused stated, ""Are you
any of you hurt, if you are not hurt, we are
not going to arrest her."" The reporting party
alleges that one of the accused officers
stated, ""Can you either of you leave fora
while?” The reporting party alleges that the
officers allowed the offender to leave for a
short period of time and then return. The
reporting party alleges that the accused
failed to process a police and arrest the
offender/his wife. The reporting party
alleges that due to being a male and not
being injured by his wife/the offender this is
why the accused officers failed to assist
him.
The reporting party alleges that he called
911 regarding a domestic incident between
him and his wife. The reporting party
alleges that the officers allowed the offender
to leave for a short period of time and then
return. The reporting party alleges that the
accused failed to process a police and
arrest the offender/his wife. The reporting
party alleges that due to being a male and
not being injured by his wife/the offender
this is why the accused officers failed to
assist him.
The reporting party alleges that he called
911 regarding a domestic incident between
him and his wife. The reporting party
alleges that one of the accused officers
stated, ""Can you either of you leave for a
while?” The reporting party alleges that the
officers allowed the offender to leave for a
short period of time and then return. The
reporting party alleges that the accused
failed to process a police and arrest the
offender/his wife. The reporting party
alleges that due to being a male and not
being injured by his wife/the offender this is
why the accused officers failed to assist
him.
Finding 1: (None Entered)
"
1059323,Operation/Personnel Violations,Inadequate / Failure To Provide Service,204,White,Black,"Initial / Intake Allegation 1: The reporting party alleges that she called
911 for police assistance regarding the
transportion of her grandson,
who has mental issues and threatened her
life. The reporting party alleges that two
white male uniformed officers refused to
assist her, in that one of them stated, ""You
should contact social security and get him in
a group home, put him out and don't let him
come back in."" The reporting party alleges
that she called 911 and requested a
supervisor who stated ""I can't make him go
to the hospital if he doesn't want to go."" The
reporting party states that the victim walked
out of the house and that he did not retum.
The reporting party states that she does not
know the whereabouts of her grandson/the
victim. The reporting party alleges that she
stated to the supervisor that she was going
to make a complaint and requested his
name. The supervisor stated, “Callahan”
and then he got into his marked vehicle and
then drove away.
Initial / Intake Allegation 4: him out and don't let him
The reporting party alleges
911 and requested a
""| can't make him go
he doesn't want to go."" The
states that the victim walked
and that he did not retum.
states that she does not
of her grandson/the
party alleges that she
that she was going
and requested his
stated, “Callahan”
into his marked vehicle and
Finding 1: (None Entered)
"
1059323,Operation/Personnel Violations,Inadequate / Failure To Provide Service,204,White,Black,"Initial / Intake Allegation 1: The reporting party alleges that she called
911 for police assistance regarding the
transportion of her grandson,
who has mental issues and threatened her
life. The reporting party alleges that two
white male uniformed officers refused to
assist her, in that one of them stated, ""You
should contact social security and get him in
a group home, put him out and don't let him
come back in."" The reporting party alleges
that she called 911 and requested a
supervisor who stated ""I can't make him go
to the hospital if he doesn't want to go."" The
reporting party states that the victim walked
out of the house and that he did not retum.
The reporting party states that she does not
know the whereabouts of her grandson/the
victim. The reporting party alleges that she
stated to the supervisor that she was going
to make a complaint and requested his
name. The supervisor stated, “Callahan”
and then he got into his marked vehicle and
then drove away.
Initial / Intake Allegation 4: him out and don't let him
The reporting party alleges
911 and requested a
""| can't make him go
he doesn't want to go."" The
states that the victim walked
and that he did not retum.
states that she does not
of her grandson/the
party alleges that she
that she was going
and requested his
stated, “Callahan”
into his marked vehicle and
Finding 1: (None Entered)
"
1059323,Operation/Personnel Violations,Inadequate / Failure To Provide Service,204,White,Black,"Initial / Intake Allegation 1: The reporting party alleges that she called
911 for police assistance regarding the
transportion of her grandson,
who has mental issues and threatened her
life. The reporting party alleges that two
white male uniformed officers refused to
assist her, in that one of them stated, ""You
should contact social security and get him in
a group home, put him out and don't let him
come back in."" The reporting party alleges
that she called 911 and requested a
supervisor who stated ""I can't make him go
to the hospital if he doesn't want to go."" The
reporting party states that the victim walked
out of the house and that he did not retum.
The reporting party states that she does not
know the whereabouts of her grandson/the
victim. The reporting party alleges that she
stated to the supervisor that she was going
to make a complaint and requested his
name. The supervisor stated, “Callahan”
and then he got into his marked vehicle and
then drove away.
Initial / Intake Allegation 4: him out and don't let him
The reporting party alleges
911 and requested a
""| can't make him go
he doesn't want to go."" The
states that the victim walked
and that he did not retum.
states that she does not
of her grandson/the
party alleges that she
that she was going
and requested his
stated, “Callahan”
into his marked vehicle and
Finding 1: (None Entered)
"
1059323,Operation/Personnel Violations,Inadequate / Failure To Provide Service,204,White,Black,"Initial / Intake Allegation 1: The reporting party alleges that she called
911 for police assistance regarding the
transportion of her grandson,
who has mental issues and threatened her
life. The reporting party alleges that two
white male uniformed officers refused to
assist her, in that one of them stated, ""You
should contact social security and get him in
a group home, put him out and don't let him
come back in."" The reporting party alleges
that she called 911 and requested a
supervisor who stated ""I can't make him go
to the hospital if he doesn't want to go."" The
reporting party states that the victim walked
out of the house and that he did not retum.
The reporting party states that she does not
know the whereabouts of her grandson/the
victim. The reporting party alleges that she
stated to the supervisor that she was going
to make a complaint and requested his
name. The supervisor stated, “Callahan”
and then he got into his marked vehicle and
then drove away.
Initial / Intake Allegation 4: him out and don't let him
The reporting party alleges
911 and requested a
""| can't make him go
he doesn't want to go."" The
states that the victim walked
and that he did not retum.
states that she does not
of her grandson/the
party alleges that she
that she was going
and requested his
stated, “Callahan”
into his marked vehicle and
Finding 1: (None Entered)
"
1059323,Operation/Personnel Violations,Inadequate / Failure To Provide Service,204,White,Black,"Initial / Intake Allegation 1: The reporting party alleges that she called
911 for police assistance regarding the
transportion of her grandson,
who has mental issues and threatened her
life. The reporting party alleges that two
white male uniformed officers refused to
assist her, in that one of them stated, ""You
should contact social security and get him in
a group home, put him out and don't let him
come back in."" The reporting party alleges
that she called 911 and requested a
supervisor who stated ""I can't make him go
to the hospital if he doesn't want to go."" The
reporting party states that the victim walked
out of the house and that he did not retum.
The reporting party states that she does not
know the whereabouts of her grandson/the
victim. The reporting party alleges that she
stated to the supervisor that she was going
to make a complaint and requested his
name. The supervisor stated, “Callahan”
and then he got into his marked vehicle and
then drove away.
Initial / Intake Allegation 4: him out and don't let him
The reporting party alleges
911 and requested a
""| can't make him go
he doesn't want to go."" The
states that the victim walked
and that he did not retum.
states that she does not
of her grandson/the
party alleges that she
that she was going
and requested his
stated, “Callahan”
into his marked vehicle and
Finding 1: (None Entered)
"
1059323,Operation/Personnel Violations,Inadequate / Failure To Provide Service,204,White,Black,"Initial / Intake Allegation 1: The reporting party alleges that she called
911 for police assistance regarding the
transportion of her grandson,
who has mental issues and threatened her
life. The reporting party alleges that two
white male uniformed officers refused to
assist her, in that one of them stated, ""You
should contact social security and get him in
a group home, put him out and don't let him
come back in."" The reporting party alleges
that she called 911 and requested a
supervisor who stated ""I can't make him go
to the hospital if he doesn't want to go."" The
reporting party states that the victim walked
out of the house and that he did not retum.
The reporting party states that she does not
know the whereabouts of her grandson/the
victim. The reporting party alleges that she
stated to the supervisor that she was going
to make a complaint and requested his
name. The supervisor stated, “Callahan”
and then he got into his marked vehicle and
then drove away.
Initial / Intake Allegation 4: him out and don't let him
The reporting party alleges
911 and requested a
""| can't make him go
he doesn't want to go."" The
states that the victim walked
and that he did not retum.
states that she does not
of her grandson/the
party alleges that she
that she was going
and requested his
stated, “Callahan”
into his marked vehicle and
Finding 1: (None Entered)
"
1059424,Operation/Personnel Violations,Inadequate / Failure To Provide Service,204,Hispanic,Black,"Initial / Intake Allegation 4: THE REPORTING PARTY STATES THAT
THE OWNER OF HAPPY LIQUORS FIRED
A PAINT BALL AT HIM AND HE CALLED
THE POLICE. HE ALLEGES THAT THE
ACCUSED OFFICERS REFUSED TO
ALLOW HIM TO MAKE A COMPLAINT
AGAINST THE OWNER AND THEY
THREATENED HIM WITH ARREST.
"
1059424,Operation/Personnel Violations,Inadequate / Failure To Provide Service,204,White,Black,"Initial / Intake Allegation 4: THE REPORTING PARTY STATES THAT
THE OWNER OF HAPPY LIQUORS FIRED
A PAINT BALL AT HIM AND HE CALLED
THE POLICE. HE ALLEGES THAT THE
ACCUSED OFFICERS REFUSED TO
ALLOW HIM TO MAKE A COMPLAINT
AGAINST THE OWNER AND THEY
THREATENED HIM WITH ARREST.
"
1059426,Operation/Personnel Violations,Inadequate / Failure To Provide Service,204,Black,White,"Initial / Intake Allegation 1: THE OTHER MOTORIST
TO ASSAULT HER.
THAT SHE INFORMED.
OFFICER UPON HIS
HE FAILED TO TAKE ANY
Initial / Intake Allegation 4: THE REPORTING PARTY STATES THAT
SHE WAS INVOLVED IN A TRAFFIC
CRASH AND THE OTHER MOTORIST
THREATENED TO ASSAULT HER.
SHE ALLEGES THAT SHE INFORMED.
THE ACCUSED OFFICER UPON HIS
ARRIVAL AND HE FAILED TO TAKE ANY
ACTION.
"
1059426,Operation/Personnel Violations,Inadequate / Failure To Provide Service,204,White,White,"Initial / Intake Allegation 1: THE OTHER MOTORIST
TO ASSAULT HER.
THAT SHE INFORMED.
OFFICER UPON HIS
HE FAILED TO TAKE ANY
Initial / Intake Allegation 4: THE REPORTING PARTY STATES THAT
SHE WAS INVOLVED IN A TRAFFIC
CRASH AND THE OTHER MOTORIST
THREATENED TO ASSAULT HER.
SHE ALLEGES THAT SHE INFORMED.
THE ACCUSED OFFICER UPON HIS
ARRIVAL AND HE FAILED TO TAKE ANY
ACTION.
"
1059432,Operation/Personnel Violations,Inadequate / Failure To Provide Service,204,Black,Black,"Initial / Intake Allegation 1: The complainant states that he is the
leaseholder of his residence and his uncle,
was staying with him. The
complainant states that he and his uncle
were involved in a verbal altercation and his
uncle called 911. The complainant alleges
that the accused officer that responded to
the call failed to provide him with any
assistance. Reference:
and (these reports were
obtained by 311.)
The complainant states that he is the
leaseholder of his residence and his uncle,
___ was staying with him. The
complainant states that he and his uncle
were involved in a verbal altercation and his
uncle called 911. The complainant alleges
that the accused officer that responded to
the call failed to provide him with any
assistance. Reference:
and (these reports were
obtained by 311.)
The complainant states that he is the
leaseholder of his residence and his uncle,
was staying with him. The
complainant states that he and his uncle
were involved in a verbal altercation and his
uncle called 911. The complainant alleges
that the accused officer that responded to
the call failed to provide him with anv
assistance. Reference:
and these reports were
obtained by 311.)
Initial / Intake Allegation 4: The complainant states that he is the
of his residence and his uncle,
was staying with him. The
complainant states that he and his uncle
were involved in a verbal altercation and his
uncle called 911. The complainant alleges
that the accused officer that responded to
the call failed to provide him with any
assistance. Reference:
and these reports were
obtained by 311.)
The complainant states that he is the
leaseholder of his residence and his uncle,
, was staying with him. The
complainant states that he and his uncle
were involved in a verbal altercation and his
uncle called 911. The complainant alleges
that the accused officer that responded to
the call failed to provide him with any
assistance. Reference:
and
obtained by 311.)
The complainant states that he is the
leaseholder of his residence and his uncle,
was staying with him. The
complainant states that he and his uncle
were involved in a verbal altercation and his
uncle called 911. The complainant alleges
that the accused officer that responded to
the call failed to provide him with any
assistance. Reference:
and
obtained by 311.)
these reports were
these reports were
Finding 1: (None Entered)
"
